model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
answerdotai__ModernBERT-large,1,42,4,4,0.6937557764847986,0.0347774194900033,0.493848850329717,0.6937557764847986,0.0347774194900033,0.493848850329717,284.31855511665344,0:04:44
answerdotai__ModernBERT-large,2,43,4,4,0.7120198139626632,0.0360526539125414,0.5015028367439905,0.7120198139626632,0.0360526539125414,0.5015028367439905,288.84968876838684,0:04:49
answerdotai__ModernBERT-large,3,44,4,4,0.6984789712337391,0.0371517815280619,0.4806633715828259,0.6984789712337391,0.0371517815280619,0.4806633715828259,284.6066312789917,0:04:45
answerdotai__ModernBERT-large,4,45,4,4,0.694466396534663,0.0331321137004293,0.5140971131622791,0.694466396534663,0.0331321137004293,0.5140971131622791,288.5683090686798,0:04:49
answerdotai__ModernBERT-large,5,46,4,4,0.6893686023011611,0.036480778037722,0.5222051938374838,0.6893686023011611,0.036480778037722,0.5222051938374838,288.41881370544434,0:04:48
answerdotai__ModernBERT-large,6,47,4,3,0.7157399197047988,0.1054932257637035,0.4549257420003414,0.7135217770290764,0.0341972705236701,0.4647852766017119,292.6598815917969,0:04:53
answerdotai__ModernBERT-large,7,48,4,4,0.7043163525853657,0.0377882936492908,0.5082646203227341,0.7043163525853657,0.0377882936492908,0.5082646203227341,287.29011607170105,0:04:47
answerdotai__ModernBERT-large,8,49,4,4,0.6879182774248095,0.0362827005297985,0.5067523494362831,0.6879182774248095,0.0362827005297985,0.5067523494362831,284.13045597076416,0:04:44
answerdotai__ModernBERT-large,9,50,4,3,0.6743549795684705,0.1082781615212213,0.536323569715023,0.6717211638150987,0.0374753532151496,0.5547008762756983,287.32416820526123,0:04:47
answerdotai__ModernBERT-large,10,51,4,4,0.693920500241277,0.03482566374289089,0.47313793438176316,0.693920500241277,0.03482566374289089,0.47313793438176316,287.98814702033997,0:04:48
